Number of commits: 125

NOTE: etcd was excluded because it doesn't compile due to grpc changes

Compilation time:
	* github.com/boltdb/bolt/cmd/bolt: from 616.387828ms to 608.214362ms, -1.33%
	* github.com/gogits/gogs: from 15.261902388s to 15.077212489s, -1.21%
	* github.com/spf13/hugo: from 7.572419367s to 7.442231971s, -1.72%
	* github.com/influxdata/influxdb/cmd/influxd: from 7.134895405s to 7.061516979s, -1.03%
	* github.com/nsqio/nsq/apps/nsqd: from 2.488679928s to 2.44750362s, -1.65%
	* github.com/mholt/caddy: from 5.572195354s to 5.444731663s, -2.29%

Binary size:
	* github.com/boltdb/bolt/cmd/bolt: from 2618526 to 2593283, -0.96%
	* github.com/gogits/gogs: from 23021534 to 22906574, -0.50%
	* github.com/spf13/hugo: from 14992636 to 14913467, -0.53%
	* github.com/influxdata/influxdb/cmd/influxd: from 15707782 to 15624774, -0.53%
	* github.com/nsqio/nsq/apps/nsqd: from 9845751 to 9796747, -0.50%
	* github.com/mholt/caddy: from 13283927 to 13227799, -0.42%

Bechmarks:
BenchmarkMsgpMarshal-4                   	10000000	       204 ns/op	     128 B/op	       1 allocs/op
BenchmarkMsgpUnmarshal-4                 	 3000000	       402 ns/op	     112 B/op	       3 allocs/op
BenchmarkVmihailencoMsgpackMarshal-4     	 1000000	      2091 ns/op	     352 B/op	       5 allocs/op
BenchmarkVmihailencoMsgpackUnmarshal-4   	 1000000	      1944 ns/op	     352 B/op	      13 allocs/op
BenchmarkJsonMarshal-4                   	  500000	      3450 ns/op	    1232 B/op	      10 allocs/op
BenchmarkJsonUnmarshal-4                 	  500000	      3603 ns/op	     416 B/op	       7 allocs/op
BenchmarkEasyJsonMarshal-4               	 1000000	      1478 ns/op	     784 B/op	       5 allocs/op
BenchmarkEasyJsonUnmarshal-4             	 1000000	      1495 ns/op	     160 B/op	       4 allocs/op
BenchmarkBsonMarshal-4                   	 1000000	      1563 ns/op	     392 B/op	      10 allocs/op
BenchmarkBsonUnmarshal-4                 	 1000000	      2051 ns/op	     248 B/op	      21 allocs/op
BenchmarkGobMarshal-4                    	 1000000	      1072 ns/op	      48 B/op	       2 allocs/op
BenchmarkGobUnmarshal-4                  	 1000000	      1121 ns/op	     112 B/op	       3 allocs/op
BenchmarkXdrMarshal-4                    	 1000000	      1744 ns/op	     455 B/op	      20 allocs/op
BenchmarkXdrUnmarshal-4                  	 1000000	      1559 ns/op	     240 B/op	      11 allocs/op
BenchmarkUgorjiCodecMsgpackMarshal-4     	  500000	      3050 ns/op	    2752 B/op	       8 allocs/op
BenchmarkUgorjiCodecMsgpackUnmarshal-4   	  500000	      3329 ns/op	    3008 B/op	       6 allocs/op
BenchmarkUgorjiCodecBincMarshal-4        	  500000	      3095 ns/op	    2784 B/op	       8 allocs/op
BenchmarkUgorjiCodecBincUnmarshal-4      	  500000	      3589 ns/op	    3168 B/op	       9 allocs/op
BenchmarkSerealMarshal-4                 	  500000	      3481 ns/op	     912 B/op	      21 allocs/op
BenchmarkSerealUnmarshal-4               	  500000	      3664 ns/op	    1008 B/op	      34 allocs/op
BenchmarkBinaryMarshal-4                 	 1000000	      1591 ns/op	     256 B/op	      16 allocs/op
BenchmarkBinaryUnmarshal-4               	 1000000	      1824 ns/op	     335 B/op	      22 allocs/op
BenchmarkFlatbuffersMarshal-4            	 5000000	       365 ns/op	       0 B/op	       0 allocs/op
BenchmarkFlatBuffersUnmarshal-4          	 5000000	       305 ns/op	     112 B/op	       3 allocs/op
BenchmarkCapNProtoMarshal-4              	 3000000	       511 ns/op	      56 B/op	       2 allocs/op
BenchmarkCapNProtoUnmarshal-4            	 3000000	       507 ns/op	     200 B/op	       6 allocs/op
BenchmarkCapNProto2Marshal-4             	 1000000	      1207 ns/op	     244 B/op	       3 allocs/op
BenchmarkCapNProto2Unmarshal-4           	 1000000	      1209 ns/op	     320 B/op	       6 allocs/op
BenchmarkHproseMarshal-4                 	 1000000	      1111 ns/op	     473 B/op	       8 allocs/op
BenchmarkHproseUnmarshal-4               	 1000000	      1247 ns/op	     320 B/op	      10 allocs/op
BenchmarkProtobufMarshal-4               	 1000000	      1167 ns/op	     200 B/op	       7 allocs/op
BenchmarkProtobufUnmarshal-4             	 2000000	       773 ns/op	     192 B/op	      10 allocs/op
BenchmarkGoprotobufMarshal-4             	 2000000	       608 ns/op	     312 B/op	       4 allocs/op
BenchmarkGoprotobufUnmarshal-4           	 2000000	       868 ns/op	     432 B/op	       9 allocs/op
BenchmarkGogoprotobufMarshal-4           	10000000	       182 ns/op	      64 B/op	       1 allocs/op
BenchmarkGogoprotobufUnmarshal-4         	 5000000	       276 ns/op	      96 B/op	       3 allocs/op
BenchmarkGencodeMarshal-4                	10000000	       194 ns/op	      80 B/op	       2 allocs/op
BenchmarkGencodeUnmarshal-4              	 5000000	       244 ns/op	     112 B/op	       3 allocs/op
BenchmarkGencodeUnsafeMarshal-4          	10000000	       122 ns/op	      48 B/op	       1 allocs/op
BenchmarkGencodeUnsafeUnmarshal-4        	10000000	       205 ns/op	      96 B/op	       3 allocs/op
PASS
ok  	github.com/alecthomas/go_serialization_benchmarks	69.800s

benchmark                                  old ns/op     new ns/op     delta
BenchmarkMsgpMarshal-4                     212           204           -3.77%
BenchmarkMsgpUnmarshal-4                   401           402           +0.25%
BenchmarkVmihailencoMsgpackMarshal-4       1775          2091          +17.80%
BenchmarkVmihailencoMsgpackUnmarshal-4     1827          1944          +6.40%
BenchmarkJsonMarshal-4                     3436          3450          +0.41%
BenchmarkJsonUnmarshal-4                   3391          3603          +6.25%
BenchmarkEasyJsonMarshal-4                 1558          1478          -5.13%
BenchmarkEasyJsonUnmarshal-4               1520          1495          -1.64%
BenchmarkBsonMarshal-4                     1556          1563          +0.45%
BenchmarkBsonUnmarshal-4                   2090          2051          -1.87%
BenchmarkGobMarshal-4                      1118          1072          -4.11%
BenchmarkGobUnmarshal-4                    1114          1121          +0.63%
BenchmarkXdrMarshal-4                      1923          1744          -9.31%
BenchmarkXdrUnmarshal-4                    1461          1559          +6.71%
BenchmarkUgorjiCodecMsgpackMarshal-4       2943          3050          +3.64%
BenchmarkUgorjiCodecMsgpackUnmarshal-4     3215          3329          +3.55%
BenchmarkUgorjiCodecBincMarshal-4          3028          3095          +2.21%
BenchmarkUgorjiCodecBincUnmarshal-4        3529          3589          +1.70%
BenchmarkSerealMarshal-4                   3584          3481          -2.87%
BenchmarkSerealUnmarshal-4                 3758          3664          -2.50%
BenchmarkBinaryMarshal-4                   1657          1591          -3.98%
BenchmarkBinaryUnmarshal-4                 1875          1824          -2.72%
BenchmarkFlatbuffersMarshal-4              368           365           -0.82%
BenchmarkFlatBuffersUnmarshal-4            302           305           +0.99%
BenchmarkCapNProtoMarshal-4                540           511           -5.37%
BenchmarkCapNProtoUnmarshal-4              530           507           -4.34%
BenchmarkCapNProto2Marshal-4               1254          1207          -3.75%
BenchmarkCapNProto2Unmarshal-4             1244          1209          -2.81%
BenchmarkHproseMarshal-4                   1089          1111          +2.02%
BenchmarkHproseUnmarshal-4                 1272          1247          -1.97%
BenchmarkProtobufMarshal-4                 1173          1167          -0.51%
BenchmarkProtobufUnmarshal-4               878           773           -11.96%
BenchmarkGoprotobufMarshal-4               632           608           -3.80%
BenchmarkGoprotobufUnmarshal-4             917           868           -5.34%
BenchmarkGogoprotobufMarshal-4             193           182           -5.70%
BenchmarkGogoprotobufUnmarshal-4           278           276           -0.72%
BenchmarkGencodeMarshal-4                  199           194           -2.51%
BenchmarkGencodeUnmarshal-4                240           244           +1.67%
BenchmarkGencodeUnsafeMarshal-4            124           122           -1.61%
BenchmarkGencodeUnsafeUnmarshal-4          198           205           +3.54%

benchmark                                  old allocs     new allocs     delta
BenchmarkMsgpMarshal-4                     1              1              +0.00%
BenchmarkMsgpUnmarshal-4                   3              3              +0.00%
BenchmarkVmihailencoMsgpackMarshal-4       5              5              +0.00%
BenchmarkVmihailencoMsgpackUnmarshal-4     13             13             +0.00%
BenchmarkJsonMarshal-4                     10             10             +0.00%
BenchmarkJsonUnmarshal-4                   7              7              +0.00%
BenchmarkEasyJsonMarshal-4                 5              5              +0.00%
BenchmarkEasyJsonUnmarshal-4               4              4              +0.00%
BenchmarkBsonMarshal-4                     10             10             +0.00%
BenchmarkBsonUnmarshal-4                   21             21             +0.00%
BenchmarkGobMarshal-4                      2              2              +0.00%
BenchmarkGobUnmarshal-4                    3              3              +0.00%
BenchmarkXdrMarshal-4                      21             20             -4.76%
BenchmarkXdrUnmarshal-4                    11             11             +0.00%
BenchmarkUgorjiCodecMsgpackMarshal-4       8              8              +0.00%
BenchmarkUgorjiCodecMsgpackUnmarshal-4     6              6              +0.00%
BenchmarkUgorjiCodecBincMarshal-4          8              8              +0.00%
BenchmarkUgorjiCodecBincUnmarshal-4        9              9              +0.00%
BenchmarkSerealMarshal-4                   21             21             +0.00%
BenchmarkSerealUnmarshal-4                 34             34             +0.00%
BenchmarkBinaryMarshal-4                   16             16             +0.00%
BenchmarkBinaryUnmarshal-4                 22             22             +0.00%
BenchmarkFlatbuffersMarshal-4              0              0              +0.00%
BenchmarkFlatBuffersUnmarshal-4            3              3              +0.00%
BenchmarkCapNProtoMarshal-4                2              2              +0.00%
BenchmarkCapNProtoUnmarshal-4              6              6              +0.00%
BenchmarkCapNProto2Marshal-4               3              3              +0.00%
BenchmarkCapNProto2Unmarshal-4             6              6              +0.00%
BenchmarkHproseMarshal-4                   8              8              +0.00%
BenchmarkHproseUnmarshal-4                 10             10             +0.00%
BenchmarkProtobufMarshal-4                 7              7              +0.00%
BenchmarkProtobufUnmarshal-4               10             10             +0.00%
BenchmarkGoprotobufMarshal-4               4              4              +0.00%
BenchmarkGoprotobufUnmarshal-4             9              9              +0.00%
BenchmarkGogoprotobufMarshal-4             1              1              +0.00%
BenchmarkGogoprotobufUnmarshal-4           3              3              +0.00%
BenchmarkGencodeMarshal-4                  2              2              +0.00%
BenchmarkGencodeUnmarshal-4                3              3              +0.00%
BenchmarkGencodeUnsafeMarshal-4            1              1              +0.00%
BenchmarkGencodeUnsafeUnmarshal-4          3              3              +0.00%

benchmark                                  old bytes     new bytes     delta
BenchmarkMsgpMarshal-4                     128           128           +0.00%
BenchmarkMsgpUnmarshal-4                   112           112           +0.00%
BenchmarkVmihailencoMsgpackMarshal-4       352           352           +0.00%
